
COMMIT:1/10, rows: 0/0
Committed new MeetingProgram, ID: 163578.
Committed new MeetingProgram, ID: 163579.
Committed new MeetingProgram, ID: 163580.
Committed new MeetingProgram, ID: 163581.
Committed new MeetingProgram, ID: 163582.
Committed new MeetingProgram, ID: 163583.
Committed new MeetingProgram, ID: 163584.
Committed new MeetingProgram, ID: 163585.
Committed new MeetingProgram, ID: 163586.
Committed new MeetingProgram, ID: 163587.
Committed new MeetingProgram, ID: 163588.
Committed new MeetingProgram, ID: 163589.
Committed new MeetingProgram, ID: 163590.
Committed new MeetingProgram, ID: 163591.
Committed new MeetingProgram, ID: 163592.
Committed new MeetingProgram, ID: 163593.
Committed new MeetingProgram, ID: 163594.
Committed new MeetingProgram, ID: 163595.

COMMIT:3/10, rows: 103/103

COMMIT:4/10, rows: 0/0

COMMIT:5/10, rows: 0/0
Committed new Swimmer, ID: 40577.
Committed new Swimmer, ID: 40578.
Committed new Swimmer, ID: 40579.
Committed new Swimmer, ID: 40580.
Committed new Swimmer, ID: 40581.
Committed new Swimmer, ID: 40582.

COMMIT:6/10, rows: 6/6
Committed new Badge, ID: 124901.
Committed new Badge, ID: 124902.
Committed new Badge, ID: 124903.
Committed new Badge, ID: 124904.
Committed new Badge, ID: 124905.
Committed new Badge, ID: 124906.
Committed new Badge, ID: 124907.
Committed new Badge, ID: 124908.
Committed new Badge, ID: 124909.
Committed new Badge, ID: 124910.
Committed new Badge, ID: 124911.
Committed new Badge, ID: 124912.
Committed new Badge, ID: 124913.

COMMIT:7/10, rows: 13/13
Committed new MeetingEntry, ID: 12010.
Committed new MeetingEntry, ID: 12011.
Committed new MeetingEntry, ID: 12012.
Committed new MeetingEntry, ID: 12013.
Committed new MeetingEntry, ID: 12014.
Committed new MeetingEntry, ID: 12015.
Committed new MeetingEntry, ID: 12016.
Committed new MeetingEntry, ID: 12017.
Committed new MeetingEntry, ID: 12018.
Committed new MeetingEntry, ID: 12019.
Committed new MeetingEntry, ID: 12020.
Committed new MeetingEntry, ID: 12021.
Committed new MeetingEntry, ID: 12022.
Committed new MeetingEntry, ID: 12023.
Committed new MeetingEntry, ID: 12024.
Committed new MeetingEntry, ID: 12025.
Committed new MeetingEntry, ID: 12026.
Committed new MeetingEntry, ID: 12027.
Committed new MeetingEntry, ID: 12028.
Committed new MeetingEntry, ID: 12029.
Committed new MeetingEntry, ID: 12030.
Committed new MeetingEntry, ID: 12031.
Committed new MeetingEntry, ID: 12032.
Committed new MeetingEntry, ID: 12033.
Committed new MeetingEntry, ID: 12034.
Committed new MeetingEntry, ID: 12035.
Committed new MeetingEntry, ID: 12036.
Committed new MeetingEntry, ID: 12037.
Committed new MeetingEntry, ID: 12038.
Committed new MeetingEntry, ID: 12039.
Committed new MeetingEntry, ID: 12040.
Committed new MeetingEntry, ID: 12041.
Committed new MeetingEntry, ID: 12042.
Committed new MeetingEntry, ID: 12043.
Committed new MeetingEntry, ID: 12044.
Committed new MeetingEntry, ID: 12045.
Committed new MeetingEntry, ID: 12046.
Committed new MeetingEntry, ID: 12047.
Committed new MeetingEntry, ID: 12048.
Committed new MeetingEntry, ID: 12049.
Committed new MeetingEntry, ID: 12050.
Committed new MeetingEntry, ID: 12051.
Committed new MeetingEntry, ID: 12052.
Committed new MeetingEntry, ID: 12053.
Committed new MeetingEntry, ID: 12054.
Committed new MeetingEntry, ID: 12055.
Committed new MeetingEntry, ID: 12056.
Committed new MeetingEntry, ID: 12057.
Committed new MeetingEntry, ID: 12058.
Committed new MeetingEntry, ID: 12059.
Committed new MeetingEntry, ID: 12060.
Committed new MeetingEntry, ID: 12061.
Committed new MeetingEntry, ID: 12062.
Committed new MeetingEntry, ID: 12063.
Committed new MeetingEntry, ID: 12064.
Committed new MeetingEntry, ID: 12065.
Committed new MeetingEntry, ID: 12066.
Committed new MeetingEntry, ID: 12067.
Committed new MeetingEntry, ID: 12068.
Committed new MeetingEntry, ID: 12069.
Committed new MeetingEntry, ID: 12070.
Committed new MeetingEntry, ID: 12071.
Committed new MeetingEntry, ID: 12072.
Committed new MeetingEntry, ID: 12073.
Committed new MeetingEntry, ID: 12074.
Committed new MeetingEntry, ID: 12075.
Committed new MeetingEntry, ID: 12076.
Committed new MeetingEntry, ID: 12077.
Committed new MeetingEntry, ID: 12078.
Committed new MeetingEntry, ID: 12079.
Committed new MeetingEntry, ID: 12080.
Committed new MeetingEntry, ID: 12081.
Committed new MeetingEntry, ID: 12082.
Committed new MeetingEntry, ID: 12083.
Committed new MeetingEntry, ID: 12084.
Committed new MeetingEntry, ID: 12085.
Committed new MeetingEntry, ID: 12086.
Committed new MeetingEntry, ID: 12087.
Committed new MeetingEntry, ID: 12088.
Committed new MeetingEntry, ID: 12089.
Committed new MeetingEntry, ID: 12090.
Committed new MeetingEntry, ID: 12091.
Committed new MeetingEntry, ID: 12092.
Committed new MeetingEntry, ID: 12093.
Committed new MeetingEntry, ID: 12094.
Committed new MeetingEntry, ID: 12095.
Committed new MeetingEntry, ID: 12096.
Committed new MeetingEntry, ID: 12097.
Committed new MeetingEntry, ID: 12098.
Committed new MeetingEntry, ID: 12099.
Committed new MeetingEntry, ID: 12100.
Committed new MeetingEntry, ID: 12101.
Committed new MeetingEntry, ID: 12102.
Committed new MeetingEntry, ID: 12103.
Committed new MeetingEntry, ID: 12104.
Committed new MeetingEntry, ID: 12105.
Committed new MeetingEntry, ID: 12106.
Committed new MeetingEntry, ID: 12107.
Committed new MeetingEntry, ID: 12108.
Committed new MeetingEntry, ID: 12109.
Committed new MeetingEntry, ID: 12110.
Committed new MeetingEntry, ID: 12111.
Committed new MeetingEntry, ID: 12112.
Committed new MeetingEntry, ID: 12113.
Committed new MeetingEntry, ID: 12114.
Committed new MeetingEntry, ID: 12115.
Committed new MeetingEntry, ID: 12116.
Committed new MeetingEntry, ID: 12117.
Committed new MeetingEntry, ID: 12118.
Committed new MeetingEntry, ID: 12119.
Committed new MeetingEntry, ID: 12120.
Committed new MeetingEntry, ID: 12121.
Committed new MeetingEntry, ID: 12122.
Committed new MeetingEntry, ID: 12123.
Committed new MeetingEntry, ID: 12124.
Committed new MeetingEntry, ID: 12125.
Committed new MeetingEntry, ID: 12126.
Committed new MeetingEntry, ID: 12127.
Committed new MeetingEntry, ID: 12128.
Committed new MeetingEntry, ID: 12129.
Committed new MeetingEntry, ID: 12130.
Committed new MeetingEntry, ID: 12131.
Committed new MeetingEntry, ID: 12132.
Committed new MeetingEntry, ID: 12133.
Committed new MeetingEntry, ID: 12134.
Committed new MeetingEntry, ID: 12135.
Committed new MeetingEntry, ID: 12136.
Committed new MeetingEntry, ID: 12137.
Committed new MeetingEntry, ID: 12138.
Committed new MeetingEntry, ID: 12139.
Committed new MeetingEntry, ID: 12140.
Committed new MeetingEntry, ID: 12141.
Committed new MeetingEntry, ID: 12142.
Committed new MeetingEntry, ID: 12143.
Committed new MeetingEntry, ID: 12144.
Committed new MeetingEntry, ID: 12145.
Committed new MeetingEntry, ID: 12146.
Committed new MeetingEntry, ID: 12147.
Committed new MeetingEntry, ID: 12148.
Committed new MeetingEntry, ID: 12149.
Committed new MeetingEntry, ID: 12150.
Committed new MeetingEntry, ID: 12151.
Committed new MeetingEntry, ID: 12152.
Committed new MeetingEntry, ID: 12153.
Committed new MeetingEntry, ID: 12154.
Committed new MeetingEntry, ID: 12155.
Committed new MeetingEntry, ID: 12156.
Committed new MeetingEntry, ID: 12157.
Committed new MeetingEntry, ID: 12158.
Committed new MeetingEntry, ID: 12159.
Committed new MeetingEntry, ID: 12160.
Committed new MeetingEntry, ID: 12161.
Committed new MeetingEntry, ID: 12162.
Committed new MeetingEntry, ID: 12163.
Committed new MeetingEntry, ID: 12164.
Committed new MeetingEntry, ID: 12165.
Committed new MeetingEntry, ID: 12166.
Committed new MeetingEntry, ID: 12167.
Committed new MeetingEntry, ID: 12168.
Committed new MeetingEntry, ID: 12169.
Committed new MeetingEntry, ID: 12170.
Committed new MeetingEntry, ID: 12171.
Committed new MeetingEntry, ID: 12172.
Committed new MeetingEntry, ID: 12173.
Committed new MeetingEntry, ID: 12174.
Committed new MeetingEntry, ID: 12175.
Committed new MeetingEntry, ID: 12176.
Committed new MeetingEntry, ID: 12177.
Committed new MeetingEntry, ID: 12178.
Committed new MeetingEntry, ID: 12179.
Committed new MeetingEntry, ID: 12180.
Committed new MeetingEntry, ID: 12181.
Committed new MeetingEntry, ID: 12182.
Committed new MeetingEntry, ID: 12183.
Committed new MeetingEntry, ID: 12184.
Committed new MeetingEntry, ID: 12185.
Committed new MeetingEntry, ID: 12186.
Committed new MeetingEntry, ID: 12187.
Committed new MeetingEntry, ID: 12188.
Committed new MeetingEntry, ID: 12189.
Committed new MeetingEntry, ID: 12190.
Committed new MeetingEntry, ID: 12191.
Committed new MeetingEntry, ID: 12192.
Committed new MeetingEntry, ID: 12193.
Committed new MeetingEntry, ID: 12194.
Committed new MeetingEntry, ID: 12195.
Committed new MeetingEntry, ID: 12196.
Committed new MeetingEntry, ID: 12197.
Committed new MeetingEntry, ID: 12198.
Committed new MeetingEntry, ID: 12199.
Committed new MeetingEntry, ID: 12200.
Committed new MeetingEntry, ID: 12201.
Committed new MeetingEntry, ID: 12202.
Committed new MeetingEntry, ID: 12203.
Committed new MeetingEntry, ID: 12204.
Committed new MeetingEntry, ID: 12205.
Committed new MeetingEntry, ID: 12206.
Committed new MeetingEntry, ID: 12207.
Committed new MeetingEntry, ID: 12208.
Committed new MeetingEntry, ID: 12209.
Committed new MeetingEntry, ID: 12210.
Committed new MeetingEntry, ID: 12211.
Committed new MeetingEntry, ID: 12212.
Committed new MeetingEntry, ID: 12213.
Committed new MeetingEntry, ID: 12214.
Committed new MeetingEntry, ID: 12215.
Committed new MeetingEntry, ID: 12216.
Committed new MeetingEntry, ID: 12217.
Committed new MeetingEntry, ID: 12218.
Committed new MeetingEntry, ID: 12219.
Committed new MeetingEntry, ID: 12220.
Committed new MeetingEntry, ID: 12221.
Committed new MeetingEntry, ID: 12222.
Committed new MeetingEntry, ID: 12223.
Committed new MeetingEntry, ID: 12224.
Committed new MeetingEntry, ID: 12225.
Committed new MeetingEntry, ID: 12226.
Committed new MeetingEntry, ID: 12227.
Committed new MeetingEntry, ID: 12228.
Committed new MeetingEntry, ID: 12229.
Committed new MeetingEntry, ID: 12230.
Committed new MeetingEntry, ID: 12231.
Committed new MeetingEntry, ID: 12232.
Committed new MeetingEntry, ID: 12233.
Committed new MeetingEntry, ID: 12234.
Committed new MeetingEntry, ID: 12235.
Committed new MeetingEntry, ID: 12236.
Committed new MeetingEntry, ID: 12237.
Committed new MeetingEntry, ID: 12238.
Committed new MeetingEntry, ID: 12239.
Committed new MeetingEntry, ID: 12240.
Committed new MeetingEntry, ID: 12241.
Committed new MeetingEntry, ID: 12242.
Committed new MeetingEntry, ID: 12243.
Committed new MeetingEntry, ID: 12244.
Committed new MeetingEntry, ID: 12245.
Committed new MeetingEntry, ID: 12246.
Committed new MeetingEntry, ID: 12247.
Committed new MeetingEntry, ID: 12248.
Committed new MeetingEntry, ID: 12249.
Committed new MeetingEntry, ID: 12250.
Committed new MeetingEntry, ID: 12251.
Committed new MeetingEntry, ID: 12252.
Committed new MeetingEntry, ID: 12253.
Committed new MeetingEntry, ID: 12254.
Committed new MeetingEntry, ID: 12255.
Committed new MeetingEntry, ID: 12256.
Committed new MeetingEntry, ID: 12257.
Committed new MeetingEntry, ID: 12258.
Committed new MeetingEntry, ID: 12259.
Committed new MeetingEntry, ID: 12260.
Committed new MeetingEntry, ID: 12261.
Committed new MeetingEntry, ID: 12262.
Committed new MeetingEntry, ID: 12263.
Committed new MeetingEntry, ID: 12264.
Committed new MeetingEntry, ID: 12265.
Committed new MeetingEntry, ID: 12266.
Committed new MeetingEntry, ID: 12267.
Committed new MeetingEntry, ID: 12268.
Committed new MeetingEntry, ID: 12269.
Committed new MeetingEntry, ID: 12270.
Committed new MeetingEntry, ID: 12271.
Committed new MeetingEntry, ID: 12272.
Committed new MeetingEntry, ID: 12273.
Committed new MeetingEntry, ID: 12274.
Committed new MeetingEntry, ID: 12275.
Committed new MeetingEntry, ID: 12276.
Committed new MeetingEntry, ID: 12277.
Committed new MeetingEntry, ID: 12278.
Committed new MeetingEntry, ID: 12279.
Committed new MeetingEntry, ID: 12280.
Committed new MeetingEntry, ID: 12281.
Committed new MeetingEntry, ID: 12282.
Committed new MeetingEntry, ID: 12283.
Committed new MeetingEntry, ID: 12284.
Committed new MeetingEntry, ID: 12285.
Committed new MeetingEntry, ID: 12286.
Committed new MeetingEntry, ID: 12287.
Committed new MeetingEntry, ID: 12288.
Committed new MeetingEntry, ID: 12289.
Committed new MeetingEntry, ID: 12290.
Committed new MeetingEntry, ID: 12291.
Committed new MeetingEntry, ID: 12292.
Committed new MeetingEntry, ID: 12293.
Committed new MeetingEntry, ID: 12294.
Committed new MeetingEntry, ID: 12295.
Committed new MeetingEntry, ID: 12296.
Committed new MeetingEntry, ID: 12297.
Committed new MeetingEntry, ID: 12298.
Committed new MeetingEntry, ID: 12299.
Committed new MeetingEntry, ID: 12300.
Committed new MeetingEntry, ID: 12301.
Committed new MeetingEntry, ID: 12302.
Committed new MeetingEntry, ID: 12303.
Committed new MeetingEntry, ID: 12304.
Committed new MeetingEntry, ID: 12305.
Committed new MeetingEntry, ID: 12306.
Committed new MeetingEntry, ID: 12307.
Committed new MeetingEntry, ID: 12308.
Committed new MeetingEntry, ID: 12309.
Committed new MeetingEntry, ID: 12310.
Committed new MeetingEntry, ID: 12311.
Committed new MeetingEntry, ID: 12312.
Committed new MeetingEntry, ID: 12313.
Committed new MeetingEntry, ID: 12314.
Committed new MeetingEntry, ID: 12315.
Committed new MeetingEntry, ID: 12316.
Committed new MeetingEntry, ID: 12317.
Committed new MeetingEntry, ID: 12318.
Committed new MeetingEntry, ID: 12319.
Committed new MeetingEntry, ID: 12320.
Committed new MeetingEntry, ID: 12321.
Committed new MeetingEntry, ID: 12322.
Committed new MeetingEntry, ID: 12323.
Committed new MeetingEntry, ID: 12324.
Committed new MeetingEntry, ID: 12325.
Committed new MeetingEntry, ID: 12326.
Committed new MeetingEntry, ID: 12327.
Committed new MeetingEntry, ID: 12328.
Committed new MeetingEntry, ID: 12329.
Committed new MeetingEntry, ID: 12330.
Committed new MeetingEntry, ID: 12331.

COMMIT:8/10, rows: 322/322

COMMIT:9/10, rows: 0/0

COMMIT:10/10, rows: 0/0

COMMIT:11/10, rows: 0/0
